time_start,time_end,T,T_er1,T_er2,EM,EM_er1,EM_er2,Flux,Flux_er1,Flux_er2,Index,Index_er1,Index_er2,Ecut,Ecut_er1,Ecut_er2,L
2024-11-01T14:10:00.000,2024-11-01T14:10:20.000,9.900477740218097,0.03188850419088851,0.055101506605348405,97.37856902579027,4.270231104750209,1.9568805156085176,0.11668177553655228,0.012653552174702917,0.02950197102332218,10.368234102783736,3.1950466046896775,3.6782256239448703,10.372855326639057,0.2874597478642684,0.4705686360012429,-34.255094955780606
2024-11-01T14:10:20.000,2024-11-01T14:10:40.000,9.88840920646661,0.02888392897216363,0.05414686092256282,97.34813973352747,4.4733409378539335,2.0185494096188847,0.11240598655562412,0.00874502488890623,0.02290195541247106,6.909011231789209,0.7281570181794885,1.2620395676825131,10.269834807632503,0.20707579088805694,0.6729877763125014,-29.369502165583366
2024-11-01T14:10:40.000,2024-11-01T14:11:00.000,9.861490607604424,0.03423213875778863,0.08051620627918332,96.68229695661931,6.269684826827472,2.4144038959169336,0.1163292748308225,0.011653173435802189,0.020868960791325136,7.4479359417918936,0.8646644961553838,2.5669182225778098,10.392878843781851,0.2996935623489705,0.43305196568946513,-34.88586774520567
2024-11-01T14:11:00.000,2024-11-01T14:11:20.000,9.89733529639268,0.09111164175712894,8.372281668049247,91.52465357370144,91.39235037083733,7.2580540189378695,0.11301776595059447,0.009539372142680747,21.728788453861508,9.765903974979963,2.508196915686848,2.4674891186050836,10.18860261578098,0.1877504997020054,0.5572452198836917,-28.29646556255794
2024-11-01T14:11:20.000,2024-11-01T14:11:40.000,9.828850195745979,0.04042058063639686,0.08161119249875526,95.89745874311734,6.40185493087246,2.8732414176219123,0.11483459369668239,0.011116366332351219,0.027001617111673953,6.820536860098373,0.7491189878703803,1.435576742913212,10.438985685707983,0.3445606244347079,0.7452189016314481,-19.8019899086566
2024-11-01T14:11:40.000,2024-11-01T14:12:00.000,9.809081513064704,0.042076254196324214,0.09840041721342807,95.44290343306808,7.744130373562243,3.3923069923158806,0.1251126593838267,0.01795157711331602,0.04757013532707896,9.956755989457186,2.3110082438680637,3.223780918639026,10.30917481297953,0.231972912128791,0.5497872536851212,-19.806166584614733
2024-11-01T14:12:00.000,2024-11-01T14:12:20.000,9.82589252339426,0.042216967963524255,0.07323024142333345,96.09555022621392,5.290507076156132,2.943698844521549,0.12070929364038421,0.015827095304717653,0.045078375725979974,8.094278522034825,1.0736221079763695,2.2949322304923037,10.430964083915963,0.32730476680654874,0.8011696613630122,-18.979548428079145
2024-11-01T14:12:20.000,2024-11-01T14:12:40.000,9.756090764246208,0.03622501429443936,0.06698996672307089,96.0986623878265,5.620567292247358,2.8133656505112725,0.11813363622719858,0.01454168680629872,0.044918217309650316,12.556655124842221,3.1628722787668284,1.9265138645400697,10.305162759635103,0.21613186009422414,0.3676330675998294,-22.97293664462535
2024-11-01T14:12:40.000,2024-11-01T14:13:00.000,9.83929731476236,0.0911873520808939,0.23650487739362624,90.79461727856861,16.213174574599833,7.103171982512137,0.12630760192278073,0.019822141499069967,0.05165718053418775,9.39262907606176,1.5902962644477059,2.691139071736467,10.571436882675114,0.42374326308968513,0.9016615742960283,-19.21286614175483
2024-11-01T14:13:00.000,2024-11-01T14:13:20.000,9.826129215116907,0.0827703289669568,8.825521944637782,91.48982035915859,91.35852462425564,5.984372199368153,0.1293954022156669,0.02324152278915055,57.823666242712086,8.063393895741989,1.719306393055553,1.919939306576218,10.269837923735437,0.24717214609296256,0.7888077347700158,-15.972527474724249
