date_time,temperature,emission_measure
2024-05-11 01:10:00,8.167238672500224,7.253269785045005e+48
2024-05-11 01:11:00,8.652046467828391,6.814683200830562e+48
2024-05-11 01:12:00,9.57616123104626,6.461679695982622e+48
2024-05-11 01:13:00,11.700610038604037,6.757057029786107e+48
2024-05-11 01:14:00,15.057027273254095,1.235309084988181e+49
2024-05-11 01:15:00,18.006198027075015,3.1264340764609336e+49
2024-05-11 01:16:00,19.443039896270125,6.004853538231069e+49
2024-05-11 01:17:00,19.857064400925477,9.511199220280296e+49
2024-05-11 01:18:00,19.78253032580843,1.2563057232483519e+50
2024-05-11 01:19:00,19.12272790332607,1.506750924576148e+50
2024-05-11 01:20:00,18.360983610217417,1.7055598178170998e+50
2024-05-11 01:21:00,17.755826954772527,1.8471048307904645e+50
2024-05-11 01:22:00,17.25875639117014,1.91924347998012e+50
2024-05-11 01:23:00,16.966350335698095,1.94245546857477e+50
2024-05-11 01:24:00,16.877904835673245,1.93431063450543e+50
2024-05-11 01:25:00,16.678658496168932,1.9203201214447393e+50
2024-05-11 01:26:00,16.32927157090114,1.8837261828810085e+50
2024-05-11 01:27:00,16.025754580209192,1.8165544819653341e+50
2024-05-11 01:28:00,15.827868312496475,1.7343948624046077e+50
2024-05-11 01:29:00,15.683376118178236,1.6521654028769272e+50
2024-05-11 01:30:00,15.511298041412019,1.571040317902357e+50
2024-05-11 01:31:00,15.329579103677286,1.4802725605088015e+50
2024-05-11 01:32:00,15.244027647373933,1.3940952526890687e+50
2024-05-11 01:33:00,15.145855519361303,1.3082716687348334e+50
2024-05-11 01:34:00,15.102318093716903,1.2372628029053833e+50
2024-05-11 01:35:00,15.079239452476097,1.1748345574188663e+50
2024-05-11 01:36:00,15.033262733891533,1.1224361739184233e+50
2024-05-11 01:37:00,14.997602721127711,1.0750654735537573e+50
2024-05-11 01:38:00,14.931330086141742,1.036096490911639e+50
2024-05-11 01:39:00,14.801690659326539,9.9852261712958e+49
2024-05-11 01:40:00,14.660219751743085,9.619560658758257e+49
